Date,Price,Open,High,Low,Vol.,Change %
2020-04-17,0.1884,0.1904,0.1917,0.1864,18.34M,-0.011
2020-04-18,0.1953,0.1886,0.1968,0.1885,22.83M,0.0366
2020-04-19,0.1889,0.1953,0.1963,0.188,22.98M,-0.0328
2020-04-20,0.1815,0.189,0.1944,0.1785,54.28M,-0.0392
2020-04-21,0.1832,0.1814,0.1862,0.1812,32.75M,0.0094
2020-04-22,0.188,0.1834,0.1894,0.182,16.74M,0.0262
2020-04-23,0.1925,0.1881,0.1992,0.1857,58.23M,0.0239
2020-04-24,0.193,0.1926,0.1968,0.1921,25.46M,0.0026
2020-04-25,0.1942,0.1932,0.1973,0.1918,24.00M,0.0062
2020-04-26,0.1962,0.1941,0.1977,0.1924,25.57M,0.0103
2020-04-27,0.1974,0.1963,0.1994,0.1943,22.15M,0.0061
2020-04-28,0.2143,0.1974,0.218,0.1945,71.90M,0.0856
2020-04-29,0.2264,0.2141,0.2307,0.2138,119.17M,0.0565
2020-04-30,0.2115,0.2265,0.2357,0.2085,142.48M,-0.0658
2020-05-01,0.2177,0.2113,0.2241,0.2112,54.62M,0.0293
2020-05-02,0.2238,0.2177,0.2256,0.2155,43.97M,0.028
2020-05-03,0.2193,0.2237,0.2266,0.2156,43.94M,-0.0201
2020-05-04,0.218,0.2193,0.2205,0.2072,67.57M,-0.0059
2020-05-05,0.2168,0.2177,0.222,0.2137,39.86M,-0.0055
2020-05-06,0.2117,0.2171,0.2223,0.2109,41.45M,-0.0235
2020-05-07,0.2185,0.2116,0.221,0.2096,69.58M,0.0321
2020-05-08,0.2186,0.2185,0.2219,0.2143,39.04M,0.0005
2020-05-09,0.2165,0.2187,0.2251,0.216,58.61M,-0.0096
2020-05-10,0.1974,0.2161,0.2163,0.1798,153.77M,-0.0882
2020-05-11,0.1926,0.1971,0.2001,0.1849,87.99M,-0.0243
2020-05-12,0.1971,0.1926,0.1999,0.1913,30.78M,0.0234
2020-05-13,0.2016,0.1971,0.204,0.1958,26.56M,0.0228
2020-05-14,0.2038,0.2016,0.2062,0.1988,45.20M,0.0109
2020-05-15,0.1982,0.2038,0.2046,0.1959,48.59M,-0.0275
2020-05-16,0.1997,0.1982,0.2021,0.1968,31.23M,0.0076
2020-05-17,0.2014,0.1993,0.2045,0.199,19.92M,0.0085
2020-05-18,0.2054,0.2014,0.208,0.2012,38.97M,0.0199
2020-05-19,0.2048,0.2054,0.2065,0.201,31.21M,-0.0029
2020-05-20,0.2018,0.2049,0.2061,0.198,34.31M,-0.0146
2020-05-21,0.1944,0.2018,0.2031,0.1894,42.55M,-0.0367
2020-05-22,0.2004,0.1944,0.2024,0.1923,35.39M,0.0309
2020-05-23,0.1988,0.2004,0.2022,0.198,19.97M,-0.008
2020-05-24,0.1926,0.1988,0.2012,0.1925,29.74M,-0.0312
2020-05-25,0.1962,0.1926,0.1971,0.1908,25.78M,0.0187
2020-05-26,0.1937,0.1962,0.1968,0.1916,22.80M,-0.0127
2020-05-27,0.1979,0.1937,0.1998,0.1936,27.27M,0.0217
2020-05-28,0.2004,0.1979,0.2009,0.195,26.08M,0.0126
2020-05-29,0.1976,0.2005,0.2029,0.1964,27.36M,-0.014
2020-05-30,0.207,0.1976,0.2077,0.196,45.51M,0.0476
2020-05-31,0.2025,0.207,0.2135,0.2007,56.66M,-0.0217
2020-06-01,0.211,0.2023,0.2121,0.2012,62.03M,0.042
2020-06-02,0.2032,0.2111,0.2147,0.198,81.00M,-0.037
2020-06-03,0.204,0.2031,0.2047,0.2011,23.89M,0.0039
2020-06-04,0.2044,0.2041,0.2072,0.2006,44.73M,0.002
2020-06-05,0.2028,0.2044,0.2057,0.2016,41.11M,-0.0078
2020-06-06,0.2037,0.2028,0.2048,0.2014,26.77M,0.0044
2020-06-07,0.2033,0.2037,0.205,0.1989,38.43M,-0.002
2020-06-08,0.204,0.2033,0.2043,0.2013,17.24M,0.0034
2020-06-09,0.2013,0.2042,0.2051,0.2002,25.80M,-0.0132
2020-06-10,0.2026,0.2013,0.2037,0.1995,27.49M,0.0065
2020-06-11,0.1882,0.2026,0.2034,0.185,54.20M,-0.0711
2020-06-12,0.193,0.1882,0.195,0.187,18.06M,0.0255
2020-06-13,0.1923,0.1931,0.1937,0.1908,13.01M,-0.0036
2020-06-14,0.1902,0.1924,0.1924,0.1888,10.70M,-0.0109
2020-06-15,0.1924,0.1902,0.1933,0.1824,27.04M,0.0116
2020-06-16,0.1923,0.1924,0.1939,0.1902,14.31M,-0.0005
2020-06-17,0.1932,0.1923,0.1985,0.1888,29.65M,0.0047
2020-06-18,0.1897,0.1932,0.1932,0.1883,17.13M,-0.0181
2020-06-19,0.1872,0.1897,0.1901,0.1867,27.63M,-0.0132
2020-06-20,0.1879,0.1872,0.1889,0.1851,15.57M,0.0037
2020-06-21,0.186,0.1879,0.1884,0.1857,9.39M,-0.0101
2020-06-22,0.1893,0.186,0.1901,0.1858,17.86M,0.0177
